task_name,model_name,split_strategy,seed,fold_index,test_group,sample_count,status,macro_f1,balanced_accuracy,rmse,mae,nrmse,top1,top3,top5,mrr,fold_skipped_reason
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37,completed,0.16666666666666666,0.3333333333333333,,,,,,,,
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,42,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37,completed,0.16326530612244897,0.3333333333333333,,,,,,,,
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,42,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,37,completed,0.16326530612244897,0.3333333333333333,,,,,,,,
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,17,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37,completed,0.21428571428571427,0.358974358974359,,,,,,,,
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,17,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37,completed,0.17333333333333334,0.3333333333333333,,,,,,,,
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,17,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,37,completed,0.21428571428571427,0.358974358974359,,,,,,,,
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,29,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37,completed,0.1702127659574468,0.3333333333333333,,,,,,,,
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,29,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37,completed,0.21428571428571427,0.358974358974359,,,,,,,,
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,29,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,37,completed,0.21428571428571427,0.358974358974359,,,,,,,,
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01,74,completed,0.28917223234163125,0.3461538461538461,,,,,,,,
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,42,2,20251005_四01_ACT-4_云_J20_22#01,37,completed,0.16326530612244897,0.3333333333333333,,,,,,,,
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,17,1,20251002_单01_ACT-8_翼云_J16_12#01,74,completed,0.2687136785497441,0.3333333333333333,,,,,,,,
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,17,2,20251005_四01_ACT-4_云_J20_22#01,37,completed,0.2591016548463357,0.3846153846153846,,,,,,,,
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,29,1,20251002_单01_ACT-8_翼云_J16_12#01,74,completed,0.2687136785497441,0.3333333333333333,,,,,,,,
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,29,2,20251005_四01_ACT-4_云_J20_22#01,37,completed,0.21428571428571427,0.358974358974359,,,,,,,,
